File	F3-4.dat

t(sec)	z(m)
0	2.46432212
0.25	2.480733945
0.5	2.494087666
0.75	2.524668705
1	2.539653415
1.25	2.574923547
1.5	2.636901121
1.75	2.714576962
2	2.819775739
2.25	2.94138634
2.5	3.056778797
2.75	3.142303772
3	3.176044852
3.25	3.165137615
3.5	3.122731906
3.75	3.058409786
4	2.962589195
4.25	2.836289501
4.5	2.70285423
4.75	2.587461774
5	2.501936799
5.25	2.462691131
5.5	2.450152905
5.75	2.462691131
6	2.497247706
6.25	2.541182467
6.5	2.602446483
6.75	2.661264016
7	2.730275229
7.25	2.800203874
7.5	2.850356779
7.75	2.877879715
8	2.894291539
8.25	2.860550459
8.5	2.829153925
8.75	2.780530071
9	2.724057085
9.25	2.684811417
9.5	2.636187564
9.75	2.622018349
10	2.623547401
10.25	2.646381244
10.5	2.680122324
10.75	2.684811417
11	2.684811417
11.25	2.655759429
11.5	2.600815494
11.75	2.542711519
12	2.477573904
12.25	2.424260958
12.5	2.393679918
12.75	2.404587156
13	2.432110092
13.25	2.476044852
13.5	2.53883792
13.75	2.599286442
14	2.665953109
14.25	2.724057085
14.5	2.766462793
14.75	2.826095821
15	2.85667686
15.25	2.906116208
15.5	2.939857288
15.75	2.979918451
16	3.016004077
16.25	3.037206932
16.5	3.045056065
16.75	3.016004077
17	2.964220183
17.25	2.877879715
17.5	2.763302752
17.75	2.636901121
18	2.501936799
18.25	2.370846075
18.5	2.253924567
18.75	2.15351682
19	2.100101937
19.25	2.096941896
19.5	2.125993884
19.75	2.193476045
20	2.287665647
20.25	2.393679918
20.5	2.501936799
20.75	2.620489297
21	2.722426096
21.25	2.818246687
21.5	2.899082569
21.75	2.964220183
22	2.961060143
22.25	2.94617737
22.5	2.905300714
22.75	2.848827727
23	2.775840979
23.25	2.724057085
23.5	2.690316004
23.75	2.661264016
24	2.649439348
24.25	2.657288481
24.5	2.667584098
24.75	2.664424057
25	2.66911315
25.25	2.678491335
25.5	2.696534149
25.75	2.720897044
26	2.764831804
26.25	2.804892966
26.5	2.829153925
26.75	2.847298675
27	2.85351682
27.25	2.848827727
27.5	2.842507645
27.75	2.82293578
28	2.804892966
28.25	2.79235474
28.5	2.803261978
28.75	2.801732926
29	2.808053007
29.25	2.808053007
29.5	2.82293578
